"Country","Issuer","Ruling authority","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Length","Width","Thickness","Orientation","Year","Gregorian year","Mintmark","Marks","References","Comment","Quantity","For exchange","Grade","Collection","From set","Buying price (USD)","Estimate (USD)","Private comment","Public comment","Storage location","Acquisition place","Acquisition date","Serial number","Internal ID","Weight","Size","Axis","Third-party grading","Grade","Details","Slab number","CAC sticker"
"Albania","Albania","Fourth Republic (1990-date)","New lek (1965-date)","1","KM# 75","N# 6530","1 Lek (Non-magnetic)","Standard circulation coins","1996","Round","Bronze","3","18.1","18.1","","1.64","Medal alignment ↑↑","1996","1996","","","","","1","FALSE","UNC","Zoo","","0","1.17","","Dalmatian pelican (Pelecanus crispus)","","","","","","","","","","","","",""
"Algeria","Algeria","People's Democratic Republic (1962-date)","Dinar (1964-date)","0.02","KM# 95","N# 2453","2 Centimes","Standard circulation coins","1964","Round","Aluminium (95% Aluminium, 5% Magnesium and other metals)","0.6","18","18","","1.12","Coin alignment ↑↓","1383","1964","","","","1964 ۱٣٨٣","1","TRUE","UNC","World","","0","0.93","","","","","","","","","","","","","","",""
"Algeria","Algeria","People's Democratic Republic (1962-date)","Dinar (1964-date)","0.2","KM# 107.1","N# 2924","20 Centimes (FAO)","Circulating commemorative coins","1975","Round","Nickel brass (79% Copper, 20% Zinc, 1% Nickel)","4","22","22","","1.5","Coin alignment ↑↓","1975","1975","","","","KM# 107.2 (small flower above 20)","1","FALSE","","FAO","","","","","","","","","","","","","","","","","",""
"Andorra","Andorra","Co-Principality • Joan Martí i Alanis (1971-2003)","Diner (1977-2014)","0.01","KM# 171","N# 1969","1 Cèntim - Joan Martí i Alanis (FAO)","Collector coins","1999","Round","Aluminium","1.25","22","22","","1.75","Medal alignment ↑↑","1999","1999","","","","","1","FALSE","UNC","FAO","","1.7","1.75","","FAO","World Coins FAO Binder","","","","","","","","","","","",""
"Argentina","Argentina","Federal Republic (1861-date)","Austral (1985-1991)","0.01","KM# 96.2","N# 367101","1 Centavo (Weight 3 g)","Standard circulation coins","1986-1987","Round","Brass","3.2","20.64","20.64","","1.6","Coin alignment ↑↓","1987","1987","","","CJ# 395","","1","FALSE","VF","Zoo","","0.3","0.35","","South American Ostrich","World Coin Zoo Binder","","","","","","","","","","","",""
"Argentina","Argentina","Federal Republic (1861-date)","Austral (1985-1991)","0.05","KM# 97.2","N# 367103","5 Centavos (Weight 4 g)","Standard circulation coins","1986-1988","Round","Brass","4","23.1","23.1","","1.8","Coin alignment ↑↓","1988","1988","","","CJ# 392","","1","FALSE","","Zoo","","0","","Beth","South American cougar (Puma concolor concolor)","World Coin Zoo Binder","","","","","","","","","","","",""
"Argentina","Argentina","Federal Republic (1861-date)","Peso convertible (1992-date)","0.01","KM# 113a","N# 8208","1 Centavo","Standard circulation coins","1993-2000","Round","Bronze (Cu 97 Sn 0.5 Zn 2.5)","2","16.2","16.2","","1.35","Coin alignment ↑↓","1998","1998","","","","CJ# 1.4 Casa de Moneda Buenos Aires","1","FALSE","UNC","World","","0","0.43","April","","World Coins Box #1","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Pound (1788-1966)","0.0125","KM# 57","N# 1560","3 Pence - Elizabeth II (1st Portrait; with ""F:D:"")","Standard circulation coins","1955-1964","Round","Silver (.500)","1.41","16","16","","0.95","Medal alignment ↑↑","1964","1964","","","","Circulation","1","FALSE","XF","World","","3.5","2.5","","50% Silver","World Coins Box #1","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • George VI (1936-1952)","Pound (1788-1966)","0.025","KM# 38","N# 5321","6 Pence - George VI","Standard circulation coins","1938-1945","Round","Silver (.925)","2.83","19","19","","1.29","Medal alignment ↑↑","1942","1942","S","","","Circulation","1","FALSE","F","Zoo","","6","2.9","","Kangaroo, Emu","World Coins Box #1","","","","1","","","","","","","",""
"Australia","Australia","House of Windsor • George VI (1936-1952)","Pound (1788-1966)","0.05","KM# 46","N# 8215","1 Shilling - George VI (without ""IND:IMP"")","Standard circulation coins","1950-1952","Round","Silver (.500)","5.65","23.5","23.5","","1.6","Medal alignment ↑↑","1952","1952","","","","Circulation","1","FALSE","XF","Zoo","","","5.78","","","","","","","","","","","","","","",""
"Australia","Australia","House of Windsor • Elizabeth II (1952-2022)","Pound (1788-1966)","0.05","KM# 59","N# 9088","1 Shilling - Elizabeth II (1st Portrait; with ""F:D:"")","Standard circulation coins","1955-1963","Round","Silver (.500)","5.65","23.5","23.5","","1.8","Medal alignment ↑↑","1961","1961","","","","Circulation","1","FALSE","XF","Zoo","","7","5.59","","Ram (Ovis aries)","World Coin Zoo Binder","","","","","","","","","","","",""
